location,total_cases_per_million,total_deaths_per_million,reproduction_rate,stringency_index,population_density,median_age,life_expectancy,human_development_index
Afghanistan,4525.093,193.32,1.68,84.26,54.422,18.6,64.83,0.511
Albania,96104.192,1217.223,2.01,89.81,104.871,38.0,78.57,0.795
Algeria,5959.146,154.091,2.09,92.13,17.348,29.1,76.88,0.748
Andorra,554515.604,2003.775,1.7,65.74,163.755,,83.73,0.868
Angola,2939.888,55.992,3.05,90.74,23.89,16.8,61.15,0.581
Anguilla,211768.595,595.041,,,,,81.88,
Antigua and Barbuda,82681.711,1397.78,1.5,,231.845,32.1,77.02,0.778
Argentina,202399.001,2826.152,2.39,100.0,16.177,31.9,76.67,0.845
Armenia,142501.604,2905.872,2.32,,102.931,35.7,75.09,0.776
Aruba,345482.532,2528.103,,88.89,584.8,41.2,76.29,
Australia,282171.311,330.577,2.54,78.24,3.202,37.9,83.44,0.944
Austria,474051.849,2202.902,3.14,82.41,106.749,44.4,81.54,0.922
Azerbaijan,77544.001,950.081,1.96,96.3,119.309,32.4,73.0,0.756
Bahamas,87457.233,2040.744,1.82,96.3,39.497,34.3,73.92,0.814
Bahrain,334658.625,851.115,2.07,78.7,1935.907,32.4,77.29,0.852
Bangladesh,11746.482,175.168,2.83,93.52,1265.036,27.5,72.59,0.632
Barbados,279185.841,1550.183,1.5,88.89,664.463,39.8,79.19,0.814
Belarus,104085.655,738.97,2.67,43.52,46.858,40.3,74.79,0.823
Belgium,356984.076,2729.805,2.62,81.48,375.564,41.8,81.63,0.931
Belize,146309.719,1671.956,1.87,85.19,16.426,25.0,74.62,0.716
Benin,2164.64,13.091,1.11,70.83,99.11,18.8,61.77,0.545
Bermuda,237631.257,2222.509,,96.3,1308.82,,82.59,
Bhutan,76455.956,26.927,1.74,97.22,21.188,28.6,71.78,0.654
Bolivia,76807.818,1854.823,1.51,96.3,10.202,25.4,71.51,0.718
Bonaire Sint Eustatius and Saba,381584.42,1323.502,,,,,77.79,
Bosnia and Herzegovina,115790.638,4837.505,1.76,92.59,68.496,42.5,77.4,0.78
Botswana,128116.501,1124.21,1.43,86.11,4.044,25.8,69.59,0.735
Brazil,144759.862,3114.656,3.12,81.02,25.04,33.5,75.88,0.765
British Virgin Islands,222364.658,2037.932,,,207.973,,79.07,
Brunei,336091.155,505.06,2.12,76.85,81.347,32.4,75.86,0.838
Bulgaria,168920.295,5385.944,1.8,73.15,65.18,44.7,75.05,0.816
Burkina Faso,972.178,17.863,1.56,89.81,70.151,17.6,61.58,0.452
Burundi,3429.827,3.101,1.2,27.31,423.062,17.5,61.58,0.433
Cambodia,8040.742,180.333,1.82,73.15,90.672,25.6,69.82,0.594
Cameroon,4405.886,70.893,1.42,71.3,50.885,18.8,59.29,0.563
Canada,101995.767,1078.152,2.48,78.24,4.037,41.4,82.43,0.929
Cape Verde,100184.908,713.649,3.25,87.96,135.58,25.7,72.98,0.665
Cayman Islands,380733.255,421.065,,,256.496,,83.92,
Central African Republic,2977.447,22.968,1.22,75.93,7.479,18.3,53.28,0.397
Chad,438.487,11.41,1.33,88.89,11.833,16.7,54.24,0.398
Chile,192514.955,3013.008,2.92,87.5,24.282,35.4,80.18,0.851
China,840.674,3.619,3.71,81.94,147.674,38.7,76.91,0.761
Colombia,119055.006,2728.015,2.22,90.74,44.223,32.2,77.29,0.767
Comoros,9139.451,181.213,1.08,,437.352,20.4,64.32,0.554
Congo,4256.484,68.057,0.91,97.22,15.405,19.0,64.57,0.574
Cook Islands,321932.62,56.909,,,,,76.25,
Costa Rica,173385.641,1653.028,1.5,81.48,96.079,33.6,80.28,0.81
Cote d'Ivoire,3038.188,29.534,2.68,80.56,76.399,18.7,57.78,0.538
Croatia,278429.324,3916.057,3.38,96.3,73.726,44.0,78.49,0.851
Cuba,97662.045,753.612,2.67,100.0,110.408,43.1,78.8,0.783
Curacao,266171.509,1680.866,,,362.644,41.7,78.88,
Cyprus,546830.654,1181.913,2.02,94.44,127.657,37.3,80.98,0.887
Czechia,365516.959,3756.147,2.36,82.41,137.176,43.3,79.38,0.9
Democratic Republic of Congo,956.656,14.484,1.32,80.56,35.879,17.0,60.68,0.48
Denmark,539484.1,1093.699,2.02,72.22,136.52,42.3,80.9,0.94
Djibouti,15640.638,188.586,2.09,94.44,41.285,25.4,67.11,0.524
Dominica,196530.51,900.626,1.11,79.63,98.567,,75.0,0.742
Dominican Republic,53289.87,399.59,2.25,100.0,222.873,27.6,74.08,0.756
Ecuador,49041.746,1992.177,1.99,93.52,66.939,28.1,77.01,0.759
Egypt,4945.84,237.084,1.63,87.96,97.999,25.3,71.99,0.707
El Salvador,24968.168,633.888,1.3,100.0,307.811,27.6,73.32,0.673
Equatorial Guinea,11036.002,126.216,1.23,,45.194,22.4,58.74,0.592
Eritrea,2709.733,28.599,1.32,93.52,44.304,19.3,66.32,0.459
Estonia,434690.776,1932.556,1.95,77.78,31.033,42.7,78.74,0.892
Eswatini,61818.421,1200.134,4.49,89.81,79.492,21.5,60.19,0.611
Ethiopia,4007.992,63.736,3.21,80.56,104.957,19.8,66.6,0.485
European Union,318615.345,2445.089,,,,,,
Faeroe Islands,706541.904,570.811,,60.19,35.308,,80.67,
Fiji,71998.086,955.81,1.97,93.52,49.562,28.6,67.44,0.743
Finland,196849.664,815.015,1.91,71.3,18.136,42.8,81.91,0.938
France,438111.922,2199.875,3.09,87.96,122.578,42.0,82.66,0.901
French Polynesia,258099.91,2297.069,,,77.324,32.7,77.66,
Gabon,20909.862,133.402,1.48,84.26,7.859,23.1,66.47,0.703
Gambia,4826.017,146.767,1.37,83.33,207.566,17.5,62.05,0.496
