,cases_per_mil,deaths_per_mil,reprod_rate,string_index,pop_density,median_age,life_expect,hum_dev_index,gdp_per_capita,social_support,life_choices
Afghanistan,4525.093,193.32,1.68,84.26,54.422,18.6,64.83,0.511,0.35,0.517,0.0
Albania,96104.192,1217.223,2.01,89.81,104.871,38.0,78.57,0.795,0.947,0.848,0.383
Algeria,5959.146,154.091,2.09,92.13,17.348,29.1,76.88,0.748,1.002,1.16,0.086
Argentina,202399.001,2826.152,2.39,100.0,16.177,31.9,76.67,0.845,1.092,1.432,0.471
Armenia,142501.604,2905.872,2.32,84.95223776223776,102.931,35.7,75.09,0.776,0.85,1.055,0.283
Australia,282171.311,330.577,2.54,78.24,3.202,37.9,83.44,0.944,1.372,1.548,0.557
Austria,474051.849,2202.902,3.14,82.41,106.749,44.4,81.54,0.922,1.376,1.475,0.532
Azerbaijan,77544.001,950.081,1.96,96.3,119.309,32.4,73.0,0.756,1.043,1.147,0.351
Bahrain,334658.625,851.115,2.07,78.7,1935.907,32.4,77.29,0.852,1.362,1.368,0.536
Bangladesh,11746.482,175.168,2.83,93.52,1265.036,27.5,72.59,0.632,0.562,0.928,0.527
Belarus,104085.655,738.97,2.67,43.52,46.858,40.3,74.79,0.823,1.067,1.465,0.235
Belgium,356984.076,2729.805,2.62,81.48,375.564,41.8,81.63,0.931,1.356,1.504,0.473
Benin,2164.64,13.091,1.11,70.83,99.11,18.8,61.77,0.545,0.393,0.437,0.349
Bhutan,76455.956,26.927,1.74,97.22,21.188,28.6,71.78,0.654,0.813,1.321,0.457
Bolivia,76807.818,1854.823,1.51,96.3,10.202,25.4,71.51,0.718,0.776,1.209,0.511
Bosnia and Herzegovina,115790.638,4837.505,1.76,92.59,68.496,42.5,77.4,0.78,0.945,1.212,0.212
Botswana,128116.501,1124.21,1.43,86.11,4.044,25.8,69.59,0.735,1.041,1.145,0.455
Brazil,144759.862,3114.656,3.12,81.02,25.04,33.5,75.88,0.765,1.004,1.439,0.39
Bulgaria,168920.295,5385.944,1.8,73.15,65.18,44.7,75.05,0.816,1.092,1.513,0.311
Burkina Faso,972.178,17.863,1.56,89.81,70.151,17.6,61.58,0.452,0.331,1.056,0.255
Burundi,3429.827,3.101,1.2,27.31,423.062,17.5,61.58,0.433,0.046,0.447,0.22
Cambodia,8040.742,180.333,1.82,73.15,90.672,25.6,69.82,0.594,0.574,1.122,0.609
Cameroon,4405.886,70.893,1.42,71.3,50.885,18.8,59.29,0.563,0.549,0.91,0.381
Canada,101995.767,1078.152,2.48,78.24,4.037,41.4,82.43,0.929,1.365,1.505,0.584
Central African Republic,2977.447,22.968,1.22,75.93,7.479,18.3,53.28,0.397,0.026,0.0,0.225
Chad,438.487,11.41,1.33,88.89,11.833,16.7,54.24,0.398,0.35,0.766,0.174
Chile,192514.955,3013.008,2.92,87.5,24.282,35.4,80.18,0.851,1.159,1.369,0.357
China,840.674,3.619,3.71,81.94,147.674,38.7,76.91,0.761,1.029,1.125,0.521
Colombia,119055.006,2728.015,2.22,90.74,44.223,32.2,77.29,0.767,0.985,1.41,0.47
Comoros,9139.451,181.213,1.08,84.95223776223776,437.352,20.4,64.32,0.554,0.274,0.757,0.142
Costa Rica,173385.641,1653.028,1.5,81.48,96.079,33.6,80.28,0.81,1.034,1.441,0.558
Croatia,278429.324,3916.057,3.38,96.3,73.726,44.0,78.49,0.851,1.155,1.266,0.296
Cyprus,546830.654,1181.913,2.02,94.44,127.657,37.3,80.98,0.887,1.263,1.223,0.406
Denmark,539484.1,1093.699,2.02,72.22,136.52,42.3,80.9,0.94,1.383,1.573,0.592
Dominican Republic,53289.87,399.59,2.25,100.0,222.873,27.6,74.08,0.756,1.015,1.401,0.497
Ecuador,49041.746,1992.177,1.99,93.52,66.939,28.1,77.01,0.759,0.912,1.312,0.498
Egypt,4945.84,237.084,1.63,87.96,97.999,25.3,71.99,0.707,0.913,1.039,0.241
El Salvador,24968.168,633.888,1.3,100.0,307.811,27.6,73.32,0.673,0.794,1.242,0.43
Estonia,434690.776,1932.556,1.95,77.78,31.033,42.7,78.74,0.892,1.237,1.528,0.495
Ethiopia,4007.992,63.736,3.21,80.56,104.957,19.8,66.6,0.485,0.336,1.033,0.344
Finland,196849.664,815.015,1.91,71.3,18.136,42.8,81.91,0.938,1.34,1.587,0.596
France,438111.922,2199.875,3.09,87.96,122.578,42.0,82.66,0.901,1.324,1.472,0.436
Gabon,20909.862,133.402,1.48,84.26,7.859,23.1,66.47,0.703,1.057,1.183,0.295
Gambia,4826.017,146.767,1.37,83.33,207.566,17.5,62.05,0.496,0.308,0.939,0.382
Georgia,415908.395,4224.11,2.5,100.0,65.032,38.7,73.77,0.812,0.886,0.666,0.346
Germany,313538.121,1656.725,3.02,85.19,237.016,46.6,81.33,0.947,1.373,1.454,0.495
Ghana,5085.382,45.537,1.52,86.11,126.719,21.1,64.07,0.611,0.611,0.868,0.381
Greece,332467.661,2876.167,1.89,88.89,83.479,45.3,82.24,0.888,1.181,1.156,0.067
Guatemala,47132.889,993.487,1.83,96.3,157.834,22.9,74.3,0.663,0.8,1.269,0.535
Guinea,2723.817,32.747,1.43,80.56,51.755,19.0,61.6,0.477,0.38,0.829,0.332
Haiti,2668.588,75.899,1.26,93.52,398.448,24.3,64.0,0.51,0.323,0.688,0.026
Honduras,42245.181,1090.232,1.36,100.0,82.805,24.9,75.27,0.634,0.642,1.236,0.507
Hong Kong,160519.278,1241.659,2.2754794520547947,75.0,7039.714,44.8,84.86,0.949,1.438,1.277,0.44
Hungary,199060.074,4827.301,2.21,79.63,108.043,43.4,76.88,0.854,1.201,1.41,0.199
Iceland,509634.157,414.868,2.16,65.74,3.404,37.3,82.99,0.949,1.38,1.624,0.591
India,30973.021,376.508,2.77,100.0,450.419,28.2,69.66,0.645,0.755,0.765,0.498
Indonesia,21908.358,566.598,2.35,80.09,145.725,29.3,71.72,0.718,0.931,1.203,0.491
Iran,85051.246,1661.908,4.85,83.33,49.831,32.4,76.68,0.783,1.1,0.842,0.305
Iraq,56533.65,612.419,2.52,96.3,88.125,20.0,70.6,0.674,1.043,0.98,0.241
Ireland,313397.97,1465.812,2.77,90.74,69.874,38.7,82.3,0.955,1.499,1.553,0.516
Israel,445301.152,1168.012,2.96,94.44,402.606,30.6,82.97,0.919,1.276,1.455,0.371
Italy,288180.418,2760.278,3.58,93.52,205.859,47.9,83.51,0.892,1.294,1.488,0.231
Jamaica,46099.799,1027.758,2.12,87.04,266.879,31.4,74.47,0.734,0.831,1.478,0.49
Japan,69947.539,242.601,4.38,55.09,347.778,48.2,84.63,0.919,1.327,1.419,0.445
Jordan,165248.161,1369.751,1.72,100.0,109.285,23.2,74.53,0.729,0.837,1.225,0.383
Kazakhstan,73433.54,1001.055,2.09,92.13,6.681,30.6,73.6,0.825,1.173,1.508,0.41
Kenya,5908.063,102.772,3.1,88.89,87.324,20.0,66.7,0.601,0.512,0.983,0.431
Kosovo,128135.951,1761.39,2.32,92.59,168.155,31.086986301369862,73.15280821917808,0.7318333333333333,0.882,1.232,0.489
Kuwait,146290.227,590.267,2.43,100.0,232.128,33.7,75.49,0.806,1.5,1.319,0.493
Kyrgyzstan,30323.247,451.244,2.05,92.13,32.333,26.3,71.45,0.697,0.551,1.438,0.508
Laos,28454.372,102.448,2.37,96.3,29.715,24.4,67.92,0.613,0.764,1.03,0.547
